student_id,age,gender,study_hours_per_week,attendance_percentage,internet_access,parental_education_level,family_income_level,extra_classes,sleep_hours_per_day,previous_exam_score,final_exam_score,result
1,17,Female,13,100,1,Secondary,Low,0,7.1,40.0,23.1,Fail
2,18,Male,9,76,1,No Schooling,Medium,1,4.6,45.5,31.5,Fail
3,16,Male,21,86,0,Graduate,Low,1,6.6,43.1,60.3,Pass
4,18,Female,14,95,0,Primary,Low,1,6.5,39.7,38.0,Fail
5,18,Male,18,98,1,Higher Secondary,Medium,0,4.3,50.8,53.2,Pass
6,15,Female,15,84,1,No Schooling,Medium,1,7.0,61.8,59.4,Pass
7,16,Male,10,53,1,Higher Secondary,High,0,8.0,28.6,44.7,Pass
8,16,Male,24,65,1,Secondary,Medium,1,7.7,73.3,56.3,Pass
9,16,Female,7,65,1,No Schooling,Medium,1,5.0,53.0,46.2,Pass
10,18,Female,8,70,0,No Schooling,Medium,1,8.3,34.9,40.0,Pass
11,17,Female,28,75,0,No Schooling,High,1,5.7,54.7,55.2,Pass
12,16,Female,3,85,0,Primary,Low,0,8.7,39.7,44.3,Pass
13,18,Female,15,68,1,No Schooling,Medium,0,4.4,30.5,24.4,Fail
14,15,Female,16,66,1,Higher Secondary,Medium,0,6.4,37.8,51.7,Pass
15,17,Female,4,94,0,Primary,High,1,7.0,22.2,7.7,Fail
16,15,Male,21,75,0,No Schooling,High,0,5.2,63.6,54.0,Pass
17,17,Male,6,71,1,Higher Secondary,High,0,7.9,39.0,36.6,Fail
18,18,Male,1,77,1,Higher Secondary,Low,0,7.1,43.8,37.3,Fail
19,14,Female,4,50,1,Graduate,High,1,4.1,24.6,7.9,Fail
20,17,Female,11,93,0,Higher Secondary,Low,0,7.0,36.2,47.3,Pass
21,15,Female,12,85,1,Secondary,Medium,1,6.5,46.3,51.2,Pass
22,18,Male,26,92,1,No Schooling,Medium,1,5.0,61.3,78.8,Pass
23,17,Female,29,86,1,No Schooling,Medium,0,9.0,86.6,91.6,Pass
24,14,Female,5,51,0,No Schooling,High,0,8.5,56.6,42.3,Pass
25,14,Male,23,66,1,Higher Secondary,Medium,1,5.5,55.1,49.5,Pass
26,16,Female,29,89,0,Higher Secondary,High,1,6.7,81.1,76.5,Pass
27,16,Male,21,87,1,No Schooling,Low,1,5.6,64.0,79.4,Pass
28,15,Male,16,70,1,Primary,Medium,0,7.9,52.4,54.1,Pass
29,17,Female,13,58,0,Primary,Low,1,8.7,52.5,53.1,Pass
30,17,Female,13,62,1,Secondary,High,1,5.8,34.7,49.2,Pass
31,16,Female,17,60,0,Graduate,High,1,8.0,43.7,40.1,Pass
32,17,Male,27,65,1,Secondary,Medium,0,6.5,75.0,78.7,Pass
33,17,Male,7,65,0,No Schooling,Medium,1,6.0,40.1,41.0,Pass
34,14,Male,8,51,1,No Schooling,High,1,8.7,38.6,47.7,Pass
35,16,Female,13,91,0,No Schooling,Medium,1,6.6,56.9,59.3,Pass
36,18,Female,23,93,0,Graduate,Medium,1,6.3,73.5,69.6,Pass
37,16,Female,27,57,1,Higher Secondary,Low,1,7.4,77.2,65.7,Pass
38,18,Female,16,92,0,Graduate,High,0,5.3,59.1,50.1,Pass
39,14,Male,29,91,1,Secondary,Low,0,5.6,73.3,80.6,Pass
40,15,Male,4,62,0,Higher Secondary,Medium,1,8.7,33.1,48.3,Pass
41,17,Male,8,66,1,Higher Secondary,Low,1,7.4,39.1,29.0,Fail
42,14,Male,16,88,1,Secondary,High,1,8.1,50.9,42.7,Pass
43,17,Female,21,73,1,Higher Secondary,Low,1,5.4,60.9,47.2,Pass
44,15,Female,10,52,1,Primary,Low,1,6.7,37.5,32.4,Fail
45,15,Female,25,79,0,Secondary,Medium,1,8.9,49.2,67.8,Pass
46,14,Male,12,62,1,Secondary,High,0,5.6,47.3,55.2,Pass
47,15,Male,12,68,1,Primary,Medium,1,4.8,55.8,32.2,Fail
48,18,Female,26,56,1,Graduate,Medium,1,6.6,69.2,60.6,Pass
49,15,Female,5,58,1,Graduate,High,0,5.9,36.7,22.0,Fail
50,17,Male,16,68,1,Graduate,Low,0,4.8,45.6,39.0,Fail
51,17,Female,1,94,0,Higher Secondary,Medium,0,8.4,24.6,23.9,Fail
52,17,Male,28,89,1,Primary,Low,0,9.0,81.2,78.7,Pass
53,17,Male,9,71,0,Secondary,High,1,6.8,29.2,37.0,Fail
54,18,Male,12,67,0,Secondary,Medium,0,7.9,27.2,20.0,Fail
55,16,Female,5,72,1,Secondary,Low,0,8.3,36.6,31.8,Fail
56,14,Female,22,51,1,Higher Secondary,Low,0,7.5,55.5,70.8,Pass
57,17,Male,20,99,0,Higher Secondary,Medium,1,4.2,74.0,76.7,Pass
58,15,Female,22,99,0,Graduate,High,1,4.8,50.6,67.0,Pass
59,17,Male,28,60,0,Higher Secondary,Low,1,4.4,64.0,69.2,Pass
60,15,Male,24,80,1,Graduate,High,0,4.0,51.7,49.8,Pass
61,15,Male,3,82,0,Graduate,Medium,1,5.5,42.7,36.0,Fail
62,17,Male,5,63,0,Secondary,Low,0,6.0,39.7,55.2,Pass
63,18,Female,2,65,1,Higher Secondary,Low,0,5.2,30.5,21.9,Fail
64,15,Male,14,60,0,Graduate,Low,0,4.3,33.4,51.1,Pass
65,15,Male,2,82,1,Primary,High,0,6.6,23.1,3.9,Fail
66,17,Female,13,56,0,Primary,Low,1,5.4,37.2,43.8,Pass
67,15,Male,7,80,1,Higher Secondary,Low,1,8.0,34.1,40.8,Pass
68,15,Male,10,97,0,Secondary,Medium,1,4.0,47.5,44.3,Pass
69,17,Female,13,95,1,Secondary,Low,1,8.2,48.5,52.9,Pass
70,17,Female,16,96,1,Graduate,High,0,8.8,42.0,52.7,Pass
71,14,Female,26,63,0,Higher Secondary,Medium,0,7.6,61.7,71.5,Pass
72,18,Male,14,77,1,Primary,Medium,0,7.7,51.7,48.8,Pass
73,18,Female,11,92,0,Graduate,Low,0,8.7,61.1,53.7,Pass
74,15,Female,10,65,1,Graduate,Medium,0,5.0,33.2,23.0,Fail
75,18,Male,6,68,1,No Schooling,Low,1,9.0,18.5,32.6,Fail
76,15,Male,4,66,1,Higher Secondary,Medium,1,7.9,42.0,48.3,Pass
77,14,Male,21,75,1,Graduate,High,0,7.6,66.3,79.7,Pass
78,17,Male,1,55,1,Primary,Low,0,5.8,32.4,20.6,Fail
79,17,Male,7,92,1,No Schooling,High,1,6.7,60.8,36.3,Fail
80,17,Female,24,98,1,Primary,Low,1,7.3,88.3,84.0,Pass
81,18,Female,9,58,0,Secondary,High,0,7.1,21.1,19.1,Fail
82,14,Female,8,99,0,No Schooling,High,1,7.5,62.2,57.3,Pass
83,18,Male,5,66,1,No Schooling,Medium,1,4.4,32.0,10.8,Fail
84,18,Male,19,80,1,Graduate,Low,0,5.8,63.5,69.0,Pass
85,14,Male,10,61,1,Secondary,Medium,0,6.2,38.9,40.0,Pass
86,14,Female,11,72,0,Graduate,High,1,5.3,33.4,19.8,Fail
87,14,Female,25,54,1,Higher Secondary,Low,1,4.9,73.3,72.3,Pass
88,14,Male,15,92,0,Primary,High,0,4.7,45.5,45.7,Pass
89,17,Female,6,85,1,Primary,High,1,5.8,61.1,52.6,Pass
90,16,Male,15,85,1,Graduate,High,1,6.5,48.4,55.3,Pass
91,16,Female,5,52,1,Primary,High,1,4.3,21.1,2.5,Fail
92,14,Female,29,73,1,Primary,Medium,0,8.7,61.8,67.0,Pass
93,16,Female,19,66,1,Higher Secondary,High,1,7.8,71.3,66.6,Pass
94,16,Male,22,88,0,Secondary,Medium,1,7.7,48.7,53.7,Pass
95,14,Female,19,75,1,No Schooling,High,0,4.9,63.1,56.1,Pass
96,16,Female,10,53,0,Graduate,Low,0,7.0,49.2,54.4,Pass
97,18,Male,12,94,0,Graduate,High,1,6.6,49.5,33.4,Fail
98,15,Female,22,61,1,Higher Secondary,High,0,8.9,50.4,56.2,Pass
99,15,Male,4,50,1,Higher Secondary,Low,0,7.7,24.8,25.6,Fail
100,14,Male,18,70,1,No Schooling,Low,1,6.9,44.8,48.7,Pass
101,17,Male,16,68,0,Secondary,High,0,8.3,70.9,57.5,Pass
102,14,Male,8,70,0,Graduate,High,1,4.8,44.7,56.1,Pass
103,17,Male,4,67,0,Higher Secondary,Medium,1,4.1,18.9,27.3,Fail
104,15,Female,25,92,1,Graduate,Low,0,7.5,60.0,82.7,Pass
105,14,Male,23,52,0,Primary,Low,1,4.5,56.9,63.1,Pass
106,18,Male,12,98,0,Graduate,Medium,1,4.6,39.5,44.9,Pass
107,16,Male,2,93,0,Secondary,High,1,7.7,20.9,23.3,Fail
108,17,Male,4,81,1,Secondary,High,1,5.4,41.2,46.9,Pass
109,16,Female,5,59,0,Graduate,Low,1,7.1,40.3,41.2,Pass
110,16,Male,3,89,0,Primary,Medium,0,8.6,40.4,35.4,Fail
111,14,Female,9,64,1,Secondary,High,0,5.6,35.1,49.8,Pass
112,16,Male,29,54,1,Higher Secondary,Low,1,5.1,65.0,57.9,Pass
113,18,Female,21,53,1,Graduate,High,1,4.5,55.9,49.9,Pass
114,16,Male,18,77,0,Primary,High,0,4.7,60.0,78.5,Pass
115,14,Male,11,100,0,Higher Secondary,High,1,4.3,38.9,42.7,Pass
116,18,Female,3,53,0,Graduate,Low,1,4.4,17.6,0.0,Fail
117,15,Male,25,64,1,Primary,Medium,1,6.2,60.9,72.1,Pass
118,16,Female,23,66,0,Higher Secondary,Medium,0,5.6,51.9,48.1,Pass
119,14,Male,2,93,1,Secondary,High,1,7.5,38.4,29.0,Fail
120,15,Female,9,52,1,Graduate,Medium,0,8.4,31.9,56.8,Pass
121,15,Male,14,59,0,Graduate,High,1,7.9,50.4,64.2,Pass
122,17,Male,4,96,0,Secondary,Low,1,6.7,22.2,40.5,Pass
123,18,Female,29,91,0,No Schooling,Low,0,4.5,54.8,56.6,Pass
124,16,Male,9,72,1,Higher Secondary,Low,0,7.5,31.4,32.7,Fail
125,14,Male,13,67,1,Secondary,High,1,5.8,56.2,52.8,Pass
126,17,Male,18,50,0,Graduate,Medium,1,4.4,40.5,50.9,Pass
127,18,Male,15,84,1,Higher Secondary,Low,1,8.2,55.3,52.3,Pass
128,17,Male,28,80,0,Higher Secondary,High,0,5.7,67.3,84.6,Pass
129,18,Male,10,93,0,No Schooling,Medium,1,5.1,51.1,48.7,Pass
130,18,Female,16,50,0,Graduate,Medium,0,8.4,54.6,67.6,Pass
131,16,Female,12,52,1,Primary,Medium,1,8.5,48.5,42.7,Pass
